	Requirements for C-25-058 Venues Booking and Events Management software								
						Fill in this section : -->			
Req ID	Requirement	Requirement for (QLDC)	Must have	Nice to have	Nice not necessary	Requirement FULLY met currently (yes/no)	Requirement PARTIALLY met (yes/no) (include details in notes)	In Development Plan for requirement to be met (yes/no)	Notes (please detail)
VBS1	Online calendar shows available bookings and gives people the opportunity to book and pay online. This includes the ability to 'push' customers to an online payment gateway once a venue booking has been confirmed and the ability for the QLDC venues team to see if a payment has been made. 	Customer	Y						
VBS2	Online calendar shows the bookings made, the availablity still open and provides the user with the ability to make / change / manage bookings (for a customer) as well as manage bookings, view booking details etc. This may include, a change to a regular customer booking and notification to the customer of such. 	"Venues
Customer Service"	Y						
VBS3	Online bookings can be set to either 'auto confirm' i.e. book all the way through immediately or can be set to have confirmation by QLDC venues team. This can be set by venue, by season, and with a certain timeframe - i.e. certain venues 2 weeks out can 'auto confirm'	Venues	Y						
VBS4	Equipment bookings (i.e. flags and banners, AV equipment etc) able to be added into a booking with a venue. Clear ability for the venues teams to see what equipment has been booked. This inlcudes additional fees for booking of equipment, and a variation of equipment available by venue. (I.e. not all venues would have all equipment types available)	"Venues
Customer"	Y						
VBS5	Ability to take a bond online and also the easy ability to refund bonds back to those who submitted them. Ability to manage the bond amount by venue and by booking type. 	Venues	Y						
VBS6	Ability to list a range of different venues for booking, along with photos, videos, maps and other information such as layout options (i.e. table set ups) etc. The venue types include meeting rooms, netball courts, parks and reserves, whole buildings and parts of buildings amongst others. 	"Venues
Customer"	Y						
VBS7	Ability to block off 'set up / pack down and maintenance' requirements for a venue - i.e. a large event may require several days for set up or pack down. Or a venue may have scheduled maintenance. 	Venues	Y						
VBS8	Filters for easy venue selection. For instance, a customer wanting to have an event that hosts 200 people would be able to filter by the number of people at their event, and as such only be presented with the venues that can cater for the 200 person requirement	"Venues
Customer"		Y					
VBS9	Bookings can be 'approved' or 'rejected' by venues team. Customer is notified of this via automated email. 	"Venues
Customer"	Y						
VBS10	Ability for the venues team to 'hold' a venue. This is particularly relevant for multiple year annual events where the team 'knows' that there will be a booking, and they are wanting to hold this until the customer confirms it / makes the booking. 	Venues	Y						
VBS11	Ability to 'block off' / 'open' whole venues / parts of venues as availability changes. This is particularly relevant to sports fields for instance, the venues team would want to 'block off' (i.e. book) all the fields in Wanaka out for a Saturday morning. As the draw becomes available, two of the fields can be opened to the public for booking. 	Venues	Y						
VBS12	Customer communications are set up and go out automatically (email and / or text message) i.e. your court booking is tomorrow, your booking has been confirmed and others. This can be templated to appear to go from a QLDC email address and with QLDC branding. 	"Customer
Venues"		Y					
VBS13	Ability to easily manage and issue refunds. This may be of a deposit, or an entire booking amount. 	"Venues
Finance"	Y						
VBS14	Ability to collate and issue invoices including email of this to the customer. Outline your process for invocing and whether it can be integrated into the QLDC enterprise solution, TechOne. The invoices may be by booking, or by interval such as monthly with a selection of bookings or quarterly. 	"Venues
Finance"	Y						
VBS15	Ability to define the documents required by a customer for uploading (by booking location or event/booking type) and the ability for customers to upload documentation. Ability to view and manage documentation by customer / by booking. An example of this is 'health and safety plans'. 	"Venues
Events
Customer
Waterways
Parks"	Y						
